년도,태풍번호,time,y,x,level
2020,9,2020-08-28 6:00,17.2,130.3,TS
2020,9,2020-08-28 12:00,17.1,129.8,TS
2020,9,2020-08-28 18:00,16.7,129.7,TS
2020,9,2020-08-29 0:00,16.4,129.8,STS
2020,9,2020-08-29 6:00,16.6,129.6,STS
2020,9,2020-08-29 12:00,17,129.2,STS
2020,9,2020-08-29 18:00,17.1,129,STS
2020,9,2020-08-30 0:00,17,129.1,STS
2020,9,2020-08-30 6:00,18.5,129,TY
2020,9,2020-08-30 12:00,19.2,129,TY
2020,9,2020-08-30 18:00,20.7,128.9,TY
2020,9,2020-08-31 0:00,22.4,128.5,TY
2020,9,2020-08-31 6:00,24.2,127.7,TY
2020,9,2020-08-31 12:00,25,127.2,TY
2020,9,2020-08-31 18:00,26.1,126.5,TY
2020,9,2020-09-01 0:00,26.9,126,TY
2020,9,2020-09-01 6:00,27.6,126.1,TY
2020,9,2020-09-01 12:00,28.4,126.3,TY
2020,9,2020-09-01 15:00,29,126.5,TY
2020,9,2020-09-01 18:00,29.4,126.6,TY
2020,9,2020-09-01 21:00,30,126.7,TY
2020,9,2020-09-02 0:00,30.5,126.8,TY
2020,9,2020-09-02 3:00,31.1,126.9,TY
2020,9,2020-09-02 6:00,31.6,127.1,TY
2020,9,2020-09-02 9:00,32.4,127.5,TY
2020,9,2020-09-02 12:00,33.1,127.9,TY
2020,9,2020-09-02 15:00,34,128.4,TY
2020,9,2020-09-02 18:00,35.4,128.9,TY
2020,9,2020-09-02 21:00,37.3,129.1,TY
2020,9,2020-09-03 0:00,38.9,129.2,TY
2020,9,2020-09-03 3:00,40.1,129,LOW
