년도,태풍번호,time,y,x,level
2020,8,2020-08-22 0:00,23.5,122.5,TS
2020,8,2020-08-22 6:00,24.3,123.3,TS
2020,8,2020-08-22 12:00,25.4,123.7,TS
2020,8,2020-08-22 18:00,25.8,123.5,TS
2020,8,2020-08-23 0:00,26.4,123.9,TS
2020,8,2020-08-23 6:00,26.6,124.4,STS
2020,8,2020-08-23 12:00,26.8,125,STS
2020,8,2020-08-23 18:00,27.1,125.3,STS
2020,8,2020-08-24 0:00,27.3,126,STS
2020,8,2020-08-24 6:00,27.8,126.4,STS
2020,8,2020-08-24 12:00,28.4,126.2,TY
2020,8,2020-08-24 18:00,28.5,126,TY
2020,8,2020-08-25 0:00,29.2,125.7,TY
2020,8,2020-08-25 6:00,29.8,125.5,TY
2020,8,2020-08-25 9:00,30.2,125.4,TY
2020,8,2020-08-25 12:00,30.6,125.2,TY
2020,8,2020-08-25 15:00,30.9,124.9,TY
2020,8,2020-08-25 18:00,31.4,124.8,TY
2020,8,2020-08-25 21:00,31.8,124.7,TY
2020,8,2020-08-26 0:00,32.3,124.6,TY
2020,8,2020-08-26 3:00,32.9,124.4,TY
2020,8,2020-08-26 6:00,33.5,124.4,TY
2020,8,2020-08-26 9:00,34.3,124.4,TY
2020,8,2020-08-26 12:00,35.1,124.5,TY
2020,8,2020-08-26 15:00,36,124.7,TY
2020,8,2020-08-26 18:00,37,124.9,TY
2020,8,2020-08-26 21:00,38.2,125.1,TY
2020,8,2020-08-27 0:00,39.4,125.4,STS
2020,8,2020-08-27 6:00,42,125.6,LOW
